Date,Close
2016-01-02,442.36
2016-01-03,442.45
2016-01-04,453.31
2016-01-06,508.64
2016-01-07,484.14
2016-01-08,486.54
2016-01-09,490.87
2016-01-11,471.65
2016-01-12,437.26
2016-01-13,425.83
2016-01-14,420.36
2016-01-15,411.04
2016-01-18,412.58
2016-01-19,419.4
2016-01-20,404.89
2016-01-21,421.41
2016-01-22,431.02
2016-01-25,430.64
2016-01-26,435.44
2016-01-27,439.47
2016-01-28,431.5
2016-01-29,441.11
2016-02-02,436.98
2016-02-03,439.95
2016-02-06,510.08
2016-02-08,482.7
2016-02-09,500.47
2016-02-11,471.65
2016-02-12,445.91
2016-02-15,415.07
2016-02-16,423.72
2016-02-17,431.98
2016-02-18,431.5
2016-02-19,423.91
2016-02-22,430.54
2016-02-23,430.54
2016-02-24,425.16
2016-02-25,435.63
2016-02-26,439.47
2016-02-29,436.78
2016-03-02,430.44
2016-03-03,441.3
2016-03-05,467.24
2016-03-06,510.56
2016-03-08,482.22
2016-03-10,472.13
2016-03-11,475.78
2016-03-14,434.19
2016-03-15,436.5
2016-03-16,442.84
2016-03-17,454.36
2016-03-18,457.82
2016-03-21,455.32
2016-03-22,455.13
2016-03-23,459.17
2016-03-24,456.0
2016-03-29,456.76
2016-03-30,465.7
2016-03-31,461.76
2016-04-02,431.69
2016-04-03,439.09
2016-04-04,453.59
2016-04-05,467.04
2016-04-07,470.69
2016-04-08,489.91
2016-04-10,476.94
2016-04-11,468.87
2016-04-13,467.81
2016-04-14,470.69
2016-04-15,469.83
2016-04-18,469.64
2016-04-19,471.17
2016-04-20,470.89
2016-04-21,466.08
2016-04-22,463.49
2016-04-25,458.97
2016-04-26,465.51
2016-04-27,467.72
2016-04-28,470.21
2016-04-29,467.72
2016-05-02,418.15
2016-05-04,450.42
2016-05-05,469.06
2016-05-07,462.62
2016-05-08,492.79
2016-05-09,499.99
2016-05-10,470.21
2016-05-12,441.59
2016-05-13,474.82
2016-05-16,475.78
2016-05-17,482.7
2016-05-18,487.98
2016-05-19,469.16
2016-05-20,472.52
2016-05-23,492.79
2016-05-24,500.47
2016-05-25,505.76
2016-05-26,501.43
2016-05-27,511.52
2016-05-31,519.68
2016-06-04,458.21
2016-06-05,475.3
2016-06-06,515.84
2016-06-07,455.32
2016-06-09,494.71
2016-06-10,467.81
2016-06-12,448.22
2016-06-13,498.55
2016-06-14,490.87
2016-06-15,492.31
2016-06-16,486.54
2016-06-17,488.94
2016-06-20,510.56
2016-06-21,509.6
2016-06-22,517.76
2016-06-23,519.68
2016-06-24,487.98
2016-06-27,451.39
2016-06-28,468.48
2016-06-29,487.02
2016-06-30,481.26
2016-07-03,436.21
2016-07-04,452.92
2016-07-06,515.36
2016-07-07,461.28
2016-07-09,500.47
2016-07-10,465.89
2016-07-11,472.33
2016-07-12,454.36
2016-07-13,482.22
2016-07-14,486.54
2016-07-15,486.06
2016-07-18,482.22
2016-07-19,490.39
2016-07-20,491.83
2016-07-21,488.94
2016-07-22,481.26
2016-07-25,485.58
2016-07-26,487.98
2016-07-27,490.87
2016-07-28,485.1
2016-07-29,489.43
2016-08-02,407.2
2016-08-03,432.37
2016-08-04,458.78
2016-08-06,513.92
2016-08-07,467.14
2016-08-08,491.83
2016-08-09,504.31
2016-08-11,474.15
2016-08-12,443.89
2016-08-15,495.67
2016-08-16,491.83
2016-08-17,489.91
2016-08-18,495.19
2016-08-19,495.19
2016-08-22,494.71
2016-08-23,501.91
2016-08-24,502.39
2016-08-25,499.51
2016-08-26,499.51
2016-08-30,496.15
2016-08-31,493.75
2016-09-02,405.76
2016-09-03,434.09
2016-09-05,476.17
2016-09-06,513.92
2016-09-08,492.31
2016-09-09,497.11
2016-09-11,474.06
2016-09-12,437.74
2016-09-13,489.91
2016-09-14,493.75
2016-09-15,496.15
2016-09-16,496.15
2016-09-19,497.11
2016-09-20,499.03
2016-09-21,500.47
2016-09-22,499.99
2016-09-23,499.99
2016-09-26,486.54
2016-09-27,483.18
2016-09-28,467.04
2016-09-29,463.78
2016-09-30,470.21
2016-10-02,405.47
2016-10-03,423.91
2016-10-05,485.1
2016-10-06,506.72
2016-10-08,492.79
2016-10-10,467.04
2016-10-11,464.16
2016-10-13,473.67
2016-10-14,477.32
2016-10-17,465.99
2016-10-18,472.04
2016-10-19,478.76
2016-10-20,477.03
2016-10-21,471.85
2016-10-24,471.46
2016-10-25,470.02
2016-10-26,467.81
2016-10-27,470.69
2016-10-28,472.61
2016-10-31,471.65
2016-11-02,397.02
2016-11-03,434.0
2016-11-04,457.34
2016-11-05,478.47
2016-11-07,479.43
2016-11-08,497.11
2016-11-10,467.24
