,TimeShort,TimeLong,Temp
0,-1.0,-10.0,6.0
1,-0.9945242984257358,-10.0,9.1
2,-0.9890485968514716,-10.0,5.4
3,-0.9835728952772074,-10.0,9.6
4,-0.9780971937029432,-10.0,10.8
5,-0.972621492128679,-10.0,12.1
6,-0.9671457905544147,-10.0,9.8
7,-0.9616700889801506,-10.0,9.4
8,-0.9561943874058864,-10.0,10.4
9,-0.9507186858316222,-10.0,11.3
10,-0.945242984257358,-10.0,12.0
11,-0.9397672826830937,-10.0,9.8
12,-0.9342915811088296,-10.0,6.8
13,-0.9288158795345653,-10.0,10.7
14,-0.9233401779603012,-10.0,12.2
15,-0.917864476386037,-10.0,11.9
16,-0.9123887748117727,-10.0,9.2
17,-0.9069130732375086,-10.0,9.5
18,-0.9014373716632443,-10.0,10.4
19,-0.8959616700889801,-10.0,11.9
20,-0.890485968514716,-10.0,12.6
21,-0.8850102669404517,-10.0,11.7
22,-0.8795345653661876,-10.0,11.0
23,-0.8740588637919233,-10.0,12.2
24,-0.8685831622176592,-10.0,12.5
25,-0.8631074606433949,-10.0,6.3
26,-0.8576317590691307,-10.0,9.0
27,-0.8521560574948666,-10.0,8.8
28,-0.8466803559206023,-10.0,9.3
29,-0.8412046543463381,-10.0,10.2
30,-0.8357289527720739,-10.0,9.0
31,-0.8302532511978097,-10.0,9.5
32,-0.8247775496235455,-10.0,9.5
33,-0.8193018480492813,-10.0,9.8
34,-0.8138261464750172,-10.0,11.4
35,-0.8083504449007529,-10.0,13.9
36,-0.8028747433264887,-10.0,12.2
37,-0.7973990417522245,-10.0,14.3
38,-0.7919233401779603,-10.0,10.2
39,-0.786447638603696,-10.0,10.5
40,-0.7809719370294319,-10.0,12.4
41,-0.7754962354551677,-10.0,8.3
42,-0.7700205338809035,-10.0,7.1
43,-0.7645448323066393,-10.0,10.0
44,-0.7590691307323751,-10.0,5.9
45,-0.7535934291581109,-10.0,8.0
46,-0.7481177275838466,-10.0,11.3
47,-0.7426420260095825,-10.0,13.4
48,-0.7371663244353183,-10.0,12.0
49,-0.731690622861054,-10.0,13.7
50,-0.7262149212867899,-10.0,13.9
51,-0.7207392197125257,-10.0,11.4
52,-0.7152635181382614,-10.0,15.3
53,-0.7097878165639973,-10.0,15.6
54,-0.7043121149897331,-10.0,13.1
55,-0.6988364134154689,-10.0,12.2
56,-0.6933607118412046,-10.0,9.9
57,-0.6878850102669405,-10.0,8.7
58,-0.6824093086926762,-10.0,11.6
59,-0.676933607118412,-10.0,9.2
60,-0.6714579055441479,-10.0,7.7
61,-0.6659822039698837,-10.0,9.2
62,-0.6605065023956194,-10.0,11.3
63,-0.6550308008213552,-10.0,10.3
64,-0.6495550992470911,-10.0,12.5
65,-0.6440793976728268,-10.0,10.2
66,-0.6386036960985626,-10.0,13.4
67,-0.6331279945242985,-10.0,11.7
68,-0.6276522929500342,-10.0,13.1
69,-0.62217659137577,-10.0,12.3
70,-0.6167008898015058,-10.0,13.2
71,-0.6112251882272416,-10.0,11.8
72,-0.6057494866529773,-10.0,13.2
73,-0.6002737850787132,-10.0,13.6
74,-0.5947980835044491,-10.0,16.4
75,-0.5893223819301848,-10.0,20.9
76,-0.5838466803559206,-10.0,20.0
77,-0.5783709787816564,-10.0,13.6
78,-0.5728952772073922,-10.0,15.5
79,-0.567419575633128,-10.0,13.5
80,-0.5619438740588638,-10.0,12.7
81,-0.5564681724845996,-10.0,11.9
82,-0.5509924709103353,-10.0,10.2
83,-0.5455167693360712,-10.0,10.2
84,-0.540041067761807,-10.0,8.9
85,-0.5345653661875428,-10.0,10.4
86,-0.5290896646132786,-10.0,11.7
87,-0.5236139630390144,-10.0,12.9
88,-0.5181382614647502,-10.0,16.7
89,-0.5126625598904859,-10.0,16.8
90,-0.5071868583162218,-10.0,18.8
91,-0.5017111567419575,-10.0,15.2
92,-0.4962354551676934,-10.0,8.1
93,-0.49075975359342916,-10.0,8.0
94,-0.4852840520191649,-10.0,10.0
95,-0.4798083504449008,-10.0,10.4
96,-0.47433264887063653,-10.0,10.6
97,-0.4688569472963724,-10.0,10.6
98,-0.46338124572210815,-10.0,11.8
99,-0.4579055441478439,-10.0,15.5
100,-0.45242984257357977,-10.0,16.1
101,-0.4469541409993155,-10.0,15.8
102,-0.4414784394250514,-10.0,10.8
103,-0.43600273785078714,-10.0,10.3
104,-0.4305270362765229,-10.0,12.3
105,-0.42505133470225875,-10.0,11.3
106,-0.4195756331279945,-10.0,11.5
107,-0.41409993155373037,-10.0,11.9
108,-0.4086242299794661,-10.0,11.9
109,-0.4031485284052019,-10.0,11.2
110,-0.39767282683093774,-10.0,14.5
111,-0.3921971252566735,-10.0,14.8
112,-0.38672142368240936,-10.0,16.7
113,-0.3812457221081451,-10.0,17.3
114,-0.37577002053388087,-10.0,19.0
115,-0.37029431895961673,-10.0,12.4
116,-0.3648186173853525,-10.0,12.2
117,-0.35934291581108835,-10.0,17.3
118,-0.3538672142368241,-10.0,21.3
119,-0.34839151266255985,-10.0,22.2
120,-0.3429158110882957,-10.0,23.2
121,-0.33744010951403147,-10.0,24.2
122,-0.33196440793976734,-10.0,25.9
123,-0.3264887063655031,-10.0,24.9
124,-0.32101300479123884,-10.0,25.4
125,-0.3155373032169747,-10.0,22.6
126,-0.31006160164271046,-10.0,16.8
127,-0.3045859000684463,-10.0,17.4
128,-0.2991101984941821,-10.0,14.1
129,-0.29363449691991783,-10.0,16.1
130,-0.2881587953456537,-10.0,14.1
131,-0.28268309377138945,-10.0,15.8
132,-0.2772073921971252,-10.0,16.2
133,-0.27173169062286107,-10.0,18.9
134,-0.2662559890485968,-10.0,19.5
135,-0.2607802874743327,-10.0,19.8
136,-0.25530458590006844,-10.0,20.5
137,-0.2498288843258042,-10.0,14.9
138,-0.24435318275154005,-10.0,14.8
139,-0.2388774811772758,-10.0,17.3
140,-0.23340177960301167,-10.0,19.0
141,-0.22792607802874743,-10.0,17.7
142,-0.22245037645448318,-10.0,21.8
143,-0.21697467488021904,-10.0,17.5
144,-0.2114989733059548,-10.0,16.0
145,-0.20602327173169066,-10.0,15.9
146,-0.2005475701574264,-10.0,20.4
147,-0.19507186858316217,-10.0,20.8
148,-0.18959616700889803,-10.0,20.6
149,-0.18412046543463378,-10.0,19.8
150,-0.17864476386036965,-10.0,23.3
151,-0.1731690622861054,-10.0,22.3
152,-0.16769336071184116,-10.0,18.2
153,-0.16221765913757702,-10.0,16.0
154,-0.15674195756331277,-10.0,18.3
155,-0.15126625598904864,-10.0,15.0
156,-0.1457905544147844,-10.0,15.0
157,-0.14031485284052014,-10.0,16.5
158,-0.134839151266256,-10.0,13.5
159,-0.12936344969199176,-10.0,16.3
160,-0.12388774811772763,-10.0,20.6
161,-0.11841204654346338,-10.0,13.8
162,-0.11293634496919913,-10.0,13.4
163,-0.107460643394935,-10.0,14.1
164,-0.10198494182067075,-10.0,16.9
165,-0.09650924024640661,-10.0,18.7
166,-0.09103353867214237,-10.0,20.3
167,-0.08555783709787812,-10.0,21.2
168,-0.08008213552361398,-10.0,17.7
169,-0.07460643394934974,-10.0,20.2
170,-0.0691307323750856,-10.0,18.5
171,-0.06365503080082136,-10.0,15.4
172,-0.05817932922655711,-10.0,19.8
173,-0.05270362765229297,-10.0,17.8
174,-0.047227926078028726,-10.0,17.4
175,-0.04175222450376459,-10.0,22.2
176,-0.03627652292950034,-10.0,23.7
177,-0.030800821355236097,-10.0,22.2
178,-0.02532511978097196,-10.0,18.2
179,-0.019849418206707714,-10.0,21.1
180,-0.014373716632443578,-10.0,20.2
181,-0.008898015058179332,-10.0,17.4
182,-0.003422313483915085,-10.0,17.4
183,0.002053388090349051,-10.0,19.0
184,0.007529089664613187,-10.0,18.3
185,0.013004791238877544,-10.0,15.7
186,0.01848049281314168,-10.0,19.2
187,0.023956194387405816,-10.0,20.9
188,0.029431895961670174,-10.0,22.2
189,0.03490759753593431,-10.0,18.2
190,0.040383299110198445,-10.0,20.7
191,0.0458590006844628,-10.0,26.0
192,0.05133470225872694,-10.0,27.3
193,0.056810403832991074,-10.0,27.0
194,0.06228610540725521,-10.0,24.9
195,0.06776180698151957,-10.0,30.5
196,0.0732375085557837,-10.0,23.9
197,0.07871321013004784,-10.0,27.0
198,0.0841889117043122,-10.0,27.6
199,0.08966461327857633,-10.0,29.4
200,0.09514031485284047,-10.0,30.9
201,0.10061601642710483,-10.0,31.1
202,0.10609171800136896,-10.0,24.0
203,0.1115674195756331,-10.0,24.0
204,0.11704312114989723,-10.0,24.2
205,0.12251882272416159,-10.0,26.4
206,0.12799452429842573,-10.0,24.0
207,0.13347022587268986,-10.0,23.6
208,0.13894592744695422,-10.0,24.7
209,0.14442162902121836,-10.0,24.6
210,0.1498973305954825,-10.0,22.5
211,0.15537303216974685,-10.0,26.3
212,0.16084873374401099,-10.0,31.2
213,0.16632443531827512,-10.0,32.8
214,0.17180013689253926,-10.0,35.1
215,0.17727583846680361,-10.0,30.1
216,0.18275154004106775,-10.0,24.1
217,0.1882272416153319,-10.0,21.8
218,0.19370294318959624,-10.0,22.3
219,0.19917864476386038,-10.0,26.0
220,0.20465434633812452,-10.0,24.7
221,0.21013004791238887,-10.0,24.7
