#=Quote,EventSymbol,EventTime,BidTime,BidExchangeCode,BidPrice,BidSize,AskTime,AskExchangeCode,AskPrice,AskSize
Quote,AAPL,20190807-083500.487-0500,20190807-083500-0500,V,195.16,1,20190807-083500-0500,V,195.2,1
Quote,AAPL,20190807-083500.487-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,V,195.2,1
Quote,AAPL,20190807-083500.488-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,N,195.16,1
Quote,AAPL,20190807-083500.489-0500,20190807-083500-0500,Q,195.15,2,20190807-083500-0500,N,195.16,1
Quote,AAPL,20190807-083500.489-0500,20190807-083500-0500,Q,195.15,2,20190807-083500-0500,P,195.2,4
Quote,AAPL,20190807-083500.489-0500,20190807-083500-0500,Q,195.16,1,20190807-083500-0500,P,195.2,4
Quote,AAPL,20190807-083500.489-0500,20190807-083500-0500,Q,195.16,1,20190807-083500-0500,V,195.19,1
Quote,AAPL,20190807-083500.490-0500,20190807-083500-0500,Q,195.16,1,20190807-083500-0500,N,195.2,3
Quote,AAPL,20190807-083500.509-0500,20190807-083500-0500,Q,195.15,1,20190807-083500-0500,N,195.2,3
Quote,AAPL,20190807-083500.540-0500,20190807-083500-0500,V,195.15,2,20190807-083500-0500,N,195.2,3
Quote,AAPL,20190807-083500.540-0500,20190807-083500-0500,Q,195.15,1,20190807-083500-0500,N,195.2,3
Quote,AAPL,20190807-083500.569-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,N,195.2,3
Quote,AAPL,20190807-083500.569-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,Q,195.19,1
Quote,AAPL,20190807-083500.569-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,N,195.19,6
Quote,AAPL,20190807-083500.569-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,Q,195.18,1
Quote,AAPL,20190807-083500.569-0500,20190807-083500-0500,V,195.14,1,20190807-083500-0500,Q,195.18,1
Quote,AAPL,20190807-083500.570-0500,20190807-083500-0500,V,195.14,1,20190807-083500-0500,N,195.18,3
Quote,AAPL,20190807-083500.570-0500,20190807-083500-0500,Q,195.13,1,20190807-083500-0500,N,195.18,3
Quote,AAPL,20190807-083500.572-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,N,195.18,3
Quote,AAPL,20190807-083500.599-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,V,195.18,1
Quote,AAPL,20190807-083500.600-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,P,195.19,6
Quote,AAPL,20190807-083500.641-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,Z,195.18,2
Quote,AAPL,20190807-083500.641-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,Q,195.17,1
Quote,AAPL,20190807-083500.641-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,N,195.17,6
Quote,AAPL,20190807-083500.641-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,Q,195.16,1
Quote,AAPL,20190807-083500.641-0500,20190807-083500-0500,Q,195.1,2,20190807-083500-0500,Q,195.16,1
Quote,AAPL,20190807-083500.641-0500,20190807-083500-0500,Q,195.1,2,20190807-083500-0500,N,195.16,6
Quote,AAPL,20190807-083500.641-0500,20190807-083500-0500,N,195.1,6,20190807-083500-0500,N,195.16,6
Quote,AAPL,20190807-083500.641-0500,20190807-083500-0500,N,195.1,7,20190807-083500-0500,N,195.16,6
Quote,AAPL,20190807-083500.643-0500,20190807-083500-0500,Q,195.11,1,20190807-083500-0500,N,195.16,6
Quote,AAPL,20190807-083500.644-0500,20190807-083500-0500,Q,195.11,2,20190807-083500-0500,N,195.16,6
Quote,AAPL,20190807-083500.644-0500,20190807-083500-0500,X,195.11,4,20190807-083500-0500,N,195.16,6
Quote,AAPL,20190807-083500.644-0500,20190807-083500-0500,X,195.11,4,20190807-083500-0500,V,195.16,1
Quote,AAPL,20190807-083500.644-0500,20190807-083500-0500,X,195.11,4,20190807-083500-0500,N,195.17,7
Quote,AAPL,20190807-083500.644-0500,20190807-083500-0500,X,195.11,4,20190807-083500-0500,Q,195.17,1
Quote,AAPL,20190807-083500.644-0500,20190807-083500-0500,X,195.11,4,20190807-083500-0500,P,195.18,4
Quote,AAPL,20190807-083500.644-0500,20190807-083500-0500,N,195.11,6,20190807-083500-0500,P,195.18,4
Quote,AAPL,20190807-083500.644-0500,20190807-083500-0500,N,195.11,7,20190807-083500-0500,P,195.18,4
Quote,AAPL,20190807-083500.644-0500,20190807-083500-0500,N,195.11,8,20190807-083500-0500,P,195.18,4
Quote,AAPL,20190807-083500.644-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,P,195.18,4
Quote,AAPL,20190807-083500.645-0500,20190807-083500-0500,V,195.12,1,20190807-083500-0500,P,195.18,4
Quote,AAPL,20190807-083500.645-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,P,195.18,4
Quote,AAPL,20190807-083500.648-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,N,195.18,3
Quote,AAPL,20190807-083500.666-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,N,195.19,6
Quote,AAPL,20190807-083500.678-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,J,195.19,1
Quote,AAPL,20190807-083500.678-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,P,195.2,3
Quote,AAPL,20190807-083500.703-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,N,195.2,3
Quote,AAPL,20190807-083500.703-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,V,195.2,1
Quote,AAPL,20190807-083500.704-0500,20190807-083500-0500,V,195.15,2,20190807-083500-0500,V,195.2,1
Quote,AAPL,20190807-083500.725-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,V,195.2,1
Quote,AAPL,20190807-083500.751-0500,20190807-083500-0500,P,195.17,2,20190807-083500-0500,V,195.2,1
Quote,AAPL,20190807-083500.753-0500,20190807-083500-0500,P,195.17,2,20190807-083500-0500,N,195.21,4
Quote,AAPL,20190807-083500.753-0500,20190807-083500-0500,P,195.17,2,20190807-083500-0500,Q,195.21,2
Quote,AAPL,20190807-083500.754-0500,20190807-083500-0500,P,195.17,2,20190807-083500-0500,N,195.21,5
Quote,AAPL,20190807-083500.754-0500,20190807-083500-0500,P,195.17,2,20190807-083500-0500,N,195.21,6
Quote,AAPL,20190807-083500.779-0500,20190807-083500-0500,P,195.17,2,20190807-083500-0500,N,195.21,5
Quote,AAPL,20190807-083500.779-0500,20190807-083500-0500,P,195.17,2,20190807-083500-0500,Q,195.21,2
Quote,AAPL,20190807-083500.814-0500,20190807-083500-0500,Q,195.16,2,20190807-083500-0500,Q,195.21,2
Quote,AAPL,20190807-083500.814-0500,20190807-083500-0500,Q,195.16,2,20190807-083500-0500,P,195.21,5
Quote,AAPL,20190807-083500.821-0500,20190807-083500-0500,Q,195.16,1,20190807-083500-0500,P,195.21,5
Quote,AAPL,20190807-083500.821-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,P,195.21,5
Quote,AAPL,20190807-083500.822-0500,20190807-083500-0500,V,195.15,1,20190807-083500-0500,P,195.21,4
Quote,AAPL,20190807-083500.829-0500,20190807-083500-0500,V,195.14,1,20190807-083500-0500,P,195.21,4
Quote,AAPL,20190807-083500.829-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,P,195.21,4
Quote,AAPL,20190807-083500.829-0500,20190807-083500-0500,X,195.12,2,20190807-083500-0500,P,195.21,4
Quote,AAPL,20190807-083500.829-0500,20190807-083500-0500,P,195.12,2,20190807-083500-0500,P,195.21,4
Quote,AAPL,20190807-083500.830-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,P,195.21,4
Quote,AAPL,20190807-083500.864-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,Q,195.19,1
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,Q,195.14,1,20190807-083500-0500,Q,195.19,1
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,Q,195.14,2,20190807-083500-0500,Q,195.19,1
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,Q,195.14,1,20190807-083500-0500,Q,195.19,1
